date,trailName,bike,pedestrian,id
6/25/2020 14:00,Broadway Cycle,0,,3
6/25/2020 15:00,Broadway Cycle,0,,3
6/25/2020 16:00,Broadway Cycle,0,,3
6/25/2020 17:00,Broadway Cycle,0,,3
6/25/2020 18:00,Broadway Cycle,0,,3
6/25/2020 19:00,Broadway Cycle,0,,3
6/25/2020 20:00,Broadway Cycle,0,,3
6/25/2020 21:00,Broadway Cycle,0,,3
6/25/2020 22:00,Broadway Cycle,0,,3
6/25/2020 23:00,Broadway Cycle,0,,3
6/26/2020 0:00,Broadway Cycle,0,,3
6/26/2020 1:00,Broadway Cycle,0,,3
6/26/2020 2:00,Broadway Cycle,0,,3
6/26/2020 3:00,Broadway Cycle,0,,3
6/26/2020 4:00,Broadway Cycle,0,,3
6/26/2020 5:00,Broadway Cycle,0,,3
6/26/2020 6:00,Broadway Cycle,0,,3
6/26/2020 7:00,Broadway Cycle,0,,3
6/26/2020 8:00,Broadway Cycle,0,,3
6/26/2020 9:00,Broadway Cycle,0,,3
6/26/2020 10:00,Broadway Cycle,0,,3
6/26/2020 11:00,Broadway Cycle,0,,3
6/26/2020 12:00,Broadway Cycle,0,,3
6/26/2020 13:00,Broadway Cycle,0,,3
6/26/2020 14:00,Broadway Cycle,0,,3
6/26/2020 15:00,Broadway Cycle,0,,3
6/26/2020 16:00,Broadway Cycle,0,,3
6/26/2020 17:00,Broadway Cycle,0,,3
6/26/2020 18:00,Broadway Cycle,0,,3
6/26/2020 19:00,Broadway Cycle,0,,3
6/26/2020 20:00,Broadway Cycle,0,,3
6/26/2020 21:00,Broadway Cycle,0,,3
6/26/2020 22:00,Broadway Cycle,0,,3
6/26/2020 23:00,Broadway Cycle,0,,3
6/27/2020 0:00,Broadway Cycle,0,,3
6/27/2020 1:00,Broadway Cycle,0,,3
6/27/2020 2:00,Broadway Cycle,0,,3
6/27/2020 3:00,Broadway Cycle,0,,3
6/27/2020 4:00,Broadway Cycle,0,,3
6/27/2020 5:00,Broadway Cycle,0,,3
6/27/2020 6:00,Broadway Cycle,0,,3
6/27/2020 7:00,Broadway Cycle,0,,3
6/27/2020 8:00,Broadway Cycle,0,,3
6/27/2020 9:00,Broadway Cycle,0,,3
6/27/2020 10:00,Broadway Cycle,0,,3
6/27/2020 11:00,Broadway Cycle,0,,3
6/27/2020 12:00,Broadway Cycle,0,,3
6/27/2020 13:00,Broadway Cycle,0,,3
6/27/2020 14:00,Broadway Cycle,0,,3
